X,Y,Ketebalan LIM,Ketebalan SAP
500000.0,9500000.0,0.0,11.3
500000.0,9500025.0,19.268,12.044
500000.0,9500050.0,19.0,12.46
500000.0,9500075.0,18.263,12.486
500000.0,9500100.0,17.198,12.139
500000.0,9500125.0,15.994,11.506
500000.0,9500150.0,14.858,10.724
500000.0,9500175.0,0.0,0.0
500025.0,9500000.0,21.358,10.896
500025.0,9500025.0,21.56,11.836
500025.0,9500050.0,21.168,12.424
500025.0,9500075.0,20.264,12.556
500025.0,9500100.0,19.012,12.222
500025.0,9500125.0,17.624,11.508
500025.0,9500150.0,16.328,10.569
500025.0,9500175.0,15.33,9.598
500050.0,9500000.0,23.242,9.783
500050.0,9500025.0,23.319,10.895
500050.0,9500050.0,22.761,11.679
500050.0,9500075.0,21.671,11.982
500050.0,9500100.0,20.233,11.755
500050.0,9500125.0,18.686,11.054
500050.0,9500150.0,17.277,10.034
500050.0,9500175.0,16.226,8.906
500075.0,9500000.0,24.276,8.233
500075.0,9500025.0,24.188,9.452
500075.0,9500050.0,23.442,10.407
500075.0,9500075.0,22.167,10.906
500075.0,9500100.0,20.57,10.851
500075.0,9500125.0,18.909,10.256
500075.0,9500150.0,17.447,9.249
500075.0,9500175.0,16.41,8.04
500100.0,9500000.0,24.264,6.627
500100.0,9500025.0,23.988,7.859
500100.0,9500050.0,23.057,8.92
500100.0,9500075.0,21.623,9.591
500100.0,9500100.0,19.913,9.731
500100.0,9500125.0,18.199,9.309
500100.0,9500150.0,16.75,8.408
500100.0,9500175.0,15.792,7.212
500125.0,9500000.0,23.223,5.356
500125.0,9500025.0,22.762,6.507
500125.0,9500050.0,21.672,7.582
500125.0,9500075.0,20.124,8.359
500125.0,9500100.0,18.361,8.671
500125.0,9500125.0,16.661,8.444
500125.0,9500150.0,15.292,7.715
500125.0,9500175.0,14.468,6.625
500150.0,9500000.0,21.384,4.733
500150.0,9500025.0,20.764,5.727
500150.0,9500050.0,19.561,6.72
500150.0,9500075.0,17.96,7.511
500150.0,9500100.0,16.21,7.929
500150.0,9500125.0,14.589,7.874
500150.0,9500150.0,13.354,7.341
500150.0,9500175.0,12.702,0.0
500175.0,9500000.0,19.135,0.0
500175.0,9500025.0,18.402,5.709
500175.0,9500050.0,17.146,6.546
500175.0,9500075.0,15.559,7.255
500175.0,9500100.0,13.888,7.687
500175.0,9500125.0,12.401,7.738
500175.0,9500150.0,11.338,7.377
500175.0,9500175.0,0.0,6.655
